REPORTING_YEAR,CHEM_NAME,REL_EST_AMT,CARCINOGEN,CLEAN_AIR,LIST_3350,PFAS_IND,STREET_ADDRESS,CITY_NAME,COUNTY_NAME,STATE_ABBR,ZIP_CODE,REGION,TOTAL_RELEASE
2015,Styrene,1308,Y,Y,N,0,2800 NEVILLE RD,PITTSBURGH,ALLEGHENY,PA,15225,3,1308
2017,Ethylene glycol,3,N,Y,N,0,125 COLFAX ST,SPRINGDALE,ALLEGHENY,PA,15144,3,3
2020,Methanol,8,N,Y,N,0,328 BUNOLA RIVER RD,BUNOLA,ALLEGHENY,PA,15020,3,8
2021,Xylene (mixed isomers),199,N,Y,Y,0,2000 WESTHALL ST,PITTSBURGH,ALLEGHENY,PA,15233,3,199
2016,Toluene,0,N,Y,N,0,128 FIRST ST,PITTSBURGH,ALLEGHENY,PA,15238,3,0
2020,Hydrogen fluoride,0,N,Y,N,0,PITTSBURGH & PORTER ST,SPRINGDALE,ALLEGHENY,PA,15144,3,
2020,Cyclohexane,94,N,N,N,0,9 THORN ST,CORAOPOLIS,ALLEGHENY,PA,15108,3,94
2019,Cobalt,0,Y,Y,N,0,1024 E SMITHFIELD ST,MC KEESPORT,ALLEGHENY,PA,15135,3,
2016,n-Hexane,300,N,Y,N,0,9 THORN ST,CORAOPOLIS,ALLEGHENY,PA,15108,3,300
2017,Hydrochloric acid (acid aerosols including mists  vapors  gas  fog  and other airborne forms of any particle size),34,N,Y,N,0,BRADDOCK AVE & 13TH ST,BRADDOCK,ALLEGHENY,PA,15104,3,34
2018,Polycyclic aromatic compounds,0,Y,Y,N,0,200 NEVILLE RD,PITTSBURGH,ALLEGHENY,PA,15225,3,0
2017,Dimethyl phthalate,0,N,Y,N,0,2000 WESTHALL ST,PITTSBURGH,ALLEGHENY,PA,15233,3,0
2019,1 2 4-Trimethylbenzene,230,N,N,N,0,9 THORN ST,CORAOPOLIS,ALLEGHENY,PA,15108,3,230
2020,Chromium,0,N,Y,Y,0,1101 MURIEL ST,PITTSBURGH,ALLEGHENY,PA,15203,3,
2020,Toluene,339,N,Y,N,0,9 THORN ST,CORAOPOLIS,ALLEGHENY,PA,15108,3,339
2020,Lead,0,Y,Y,Y,0,600 MAYER ST,BRIDGEVILLE,ALLEGHENY,PA,15017,3,0
2015,Xylene (mixed isomers),5,N,Y,Y,0,100 LEETSDALE INDUSTRIAL DR - BUILDINGS 72 76 & 150,LEETSDALE,ALLEGHENY,PA,15056,3,
2020,Dioxin and dioxin-like compounds,0.12,Y,Y,N,0,PITTSBURGH & PORTER ST,SPRINGDALE,ALLEGHENY,PA,15144,3,0.12
2021,Lead,123,Y,Y,Y,0,1315 W LIBERTY AVE,PITTSBURGH,ALLEGHENY,PA,15226,3,123
2021,Nitrate compounds (water dissociable; reportable only when in aqueous solution),1384,N,N,N,0,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,15025,3,1384
2015,1 2 4-Trimethylbenzene,13,N,N,N,0,2620 NEVILLE ROAD,PITTSBURGH,ALLEGHENY,PA,15225,3,13
2017,1 2 4-Trimethylbenzene,1,N,N,N,0,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,15025,3,1
2021,Nickel compounds,2,Y,Y,Y,0,125 COLFAX ST,SPRINGDALE,ALLEGHENY,PA,15144,3,2
2016,Chromium,68,N,Y,Y,0,600 MAYER ST,BRIDGEVILLE,ALLEGHENY,PA,15017,3,68
2018,Ethylene glycol,0,N,Y,N,0,125 COLFAX ST,SPRINGDALE,ALLEGHENY,PA,15144,3,0
2016,Manganese,0.35,N,Y,N,0,50 N LINDEN ST,DUQUESNE,ALLEGHENY,PA,15110,3,0.35
2018,Chromium  and Chromium Compounds(except for chromite ore mined in the Transvaal Region),0,N,Y,Y,0,2000 WESTHALL ST,PITTSBURGH,ALLEGHENY,PA,15233,3,
2021,Certain glycol ethers,31,N,Y,N,0,125 COLFAX ST,SPRINGDALE,ALLEGHENY,PA,15144,3,31
2018,Nickel,63.85,Y,Y,Y,0,50 N LINDEN ST,DUQUESNE,ALLEGHENY,PA,15110,3,63.85
2017,Manganese compounds,1,N,Y,N,0,CAMP HOLLOW RD,WEST MIFFLIN,ALLEGHENY,PA,15122,3,1
2021,Styrene,2411,Y,Y,N,0,2650 NEVILLE RD,PITTSBURGH,ALLEGHENY,PA,15225,3,2411
2021,n-Hexane,776,N,Y,N,0,9 THORN ST,CORAOPOLIS,ALLEGHENY,PA,15108,3,776
2017,Manganese compounds,0,N,Y,N,0,PITTSBURGH & PORTER ST,SPRINGDALE,ALLEGHENY,PA,15144,3,0
2019,Polycyclic aromatic compounds,0.3,Y,Y,N,0,1000 SHEROSKY WAY,SPRINGDALE,ALLEGHENY,PA,15144,3,0.3
